领域,"特性
（宣发名称）","场景
（清晰描述）",KEP,可测性评估,共识状态,"TestCase
",小米测试数据,,,竞品测试数据,,,研发理论数据,"数据埋点
","KEI
",,,共识状态,备注
,,,,,,,产品A,产品B,......,竞品A,竞品B,......,,,S,A,B,,
一级指标，对于特性的分类概述。,二级指标，产品为满足特定用户需求，而设计的功能或属性。,三级指标，特性对应的用户实际使用场景。,各个场景下，拆解的 分段/分类型的，用户操作的起始点-结束点，目标是对场景拆解清晰。,测试评估,项目组共识,（时延类指标：预置条件、开始时间、结束时间）,/,/,/,/,/,/,研发根据技术方案评估的数据,（产品规划，研发实现）,（S:业界最优；A: 我司最优（可=S，但不能与S有数量级上的差异）；B: 我司中端设备应满足的标准）,,,项目组共识,
追零速率,室内屏幕,后屏观看门前画面,用户点击后屏开关后，屏幕亮起，并正常显示门前画面耗时,已确认,已共识,"前置条件：门锁近xx时间内未触发亮屏，门前环境光线柔和，点按后屏开关
开始时间：用户点按后屏
结束时间：后屏显示首帧门前画面（任一摄像头）",,,,,,,,,,,,已共识,
,,,门前有人按门铃，屏幕亮起，并正常显示门前画面耗时,已确认,已共识,"前置条件：门锁近xx时间内未触发亮屏，门前环境光线柔和，点按门铃
开始时间：用户点按门铃
结束时间：后屏显示首帧门前画面（任一摄像头）",,,,,,,,,,,,,
,,,第一个摄像头首帧画面显示，到所有摄像头都正常显示耗时,已确认,已共识,"前置条件：门锁近xx时间内未触发亮屏，门前环境光线柔和，事件触发亮屏
开始时间：第一个摄像头首帧出图
结束时间：最后一个摄像头首帧出图",,,,,,,,,,,,,
,,,后屏正常显示摄像头画面，物体在摄像头前发生移动，到移动路径显示到后屏上耗时,已确认,已共识,"前置条件：后屏正常显示画面，有物品在门前移动
开始时间：物品实际开始移动首帧
结束时间：物品在屏幕上显示开始移动首帧",,,,,,,,,,,,,
,,后屏查看电量状态,后屏亮起并正常显示所有门前画面后，正常显示门锁当前电量值耗时,已确认,已共识,"前置条件：门锁近xx时间内未触发亮屏，事件触发亮屏
开始时间：后屏显示首帧画面（最后一个摄像头）
结束时间：后屏正常显示电量值",,,,,,,,,,,,,
,,屏幕刚灭后，点按屏幕使亮起,屏幕刚灭屏，点按按钮到屏幕亮起，并正常显示门前画面耗时,已确认,已共识,"前置条件：门锁近xx时间内触发过亮屏，门前环境光线柔和，点按后屏开关
开始时间：点按后屏时间
结束时间：后屏显示首帧门前画面（任一摄像头）",,,,,,,,,,,,,
,特性2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,......,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
业务B,特性1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,特性2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,......,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
业务C,特性1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,特性2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,......,,,,,,,,,,,,,,,,,,
